id,book_title,book_author,book_genre,book_year,book_publisher,collection_name,collection_rank,book_star,vote_up,vote_down,image_link,amazon_link,goodreads,mega_download,torrent_download,post_text
925,Crash Dump ,Kyle Benzle ,Science Fiction,1984,Recorded Books,Science Fiction,100,,,,https://images-na.ssl-images-amazon.com/images/I/51MmSAUpuIL._SY346_.jpg,https://www.amazon.com/Crash-Dump-Colin-Payne-ebook/dp/B00LD7TZF0/ref=sr_1_6?keywords=Crash+Dump&qid=1570399752&s=books&sr=1-6,https://www.goodreads.com/book/show/25276470-crash-dump,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!SrBBlSgQ,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
928,Ilium,Dan Simmons,Science Fiction,2003,Audible Studios,Science Fiction,76,,,,https://images-na.ssl-images-amazon.com/images/I/61fg5jHsntL._SX342_.jpg,https://www.amazon.com/Ilium/dp/B00I2WKDSC/ref=sr_1_1?ie=UTF8&qid=1536744409&sr=1-1&keywords=Ilium+Dan+Simmons,https://www.goodreads.com/book/show/3973.Ilium,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!37QTCY6R,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
934,The War of Art,Steven Pressfield,Non-Fiction,2000,Bantam Doubleday Dell Audio,,,,,,https://images-na.ssl-images-amazon.com/images/I/51jySmycDfL._AC_US218_.jpg,https://www.amazon.com/Tides-of-War/dp/B00005454I/ref=sr_1_1?ie=UTF8&qid=1538887765&sr=1-1&keywords=The+War+of+Art+Steven+Pressfield,https://www.goodreads.com/book/show/1319.The_War_of_Art,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!Ky5zRAIC,,
935,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,Self-Help & Popular Psychology,2012,,,,,,,https://covers.openlibrary.org/b/id/8138387-L.jpg,https://www.amazon.com/War-Art-Through-Creative-Battles/dp/B002YNS0VC,,,,
940,Stoicism: A Stoic Approach to Modern Life,Tom Miles,Non-Fiction,2015,HRD Publishing,,,,,,https://images-na.ssl-images-amazon.com/images/I/610549mThdL._SX342_.jpg,https://www.amazon.com/Stoicism-Stoic-Approach-Modern-Life/dp/B016E6DGAY/ref=sr_1_1?ie=UTF8&qid=1536666169&sr=1-1&keywords=Stoicism+An+Approach+to+Modern+Life+Tom+Miles,https://www.goodreads.com/book/show/25950827-stoicism,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!765xQaaR,,
946,Plato's Republic,Plato,Non-Fiction,2016,"Agora, New Internet Technologies",,,,,,https://images-na.ssl-images-amazon.com/images/I/51k23ZHeH3L._SX342_.jpg,https://www.amazon.com/Unknown-Platos-Republic/dp/B01CORRQHG/ref=sr_1_1?ie=UTF8&qid=1536666152&sr=1-1&keywords=Plato+The+Republic,https://www.goodreads.com/book/show/30289.The_Republic,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!WmhnwSIB,,
949,The Road,Cormac McCarthy,Science Fiction,2006,Recorded Books,Science Fiction,22,,,,https://images-na.ssl-images-amazon.com/images/I/41Ym6bkv88L._SX342_.jpg,https://www.amazon.com/Unknown-The-Road/dp/B000OCZ2MA/ref=sr_1_1?ie=UTF8&qid=1536744423&sr=1-1&keywords=The+Road+Cormac+McCarthy,https://www.goodreads.com/book/show/6288.The_Road,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!XvhwyQQY,,
952,Cryptonomicon,Neal Stephenson,Science Fiction,1999,Macmillan Audio,Science Fiction,42,,,,https://images-na.ssl-images-amazon.com/images/I/51kpC6i3e7L._SX342_.jpg,https://www.amazon.com/Macmillan-Audio-Cryptonomicon/dp/B002WEBBRI/ref=sr_1_1?ie=UTF8&qid=1536744373&sr=1-1&keywords=Cryptonomicon+Neal+Stephenson,https://www.goodreads.com/book/show/816.Cryptonomicon,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!6uJzHS6A,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
958,TTC Audio - Money and Banking - What Everyone Should Know,The Teaching Company,TTC,,The Teaching Company,TTC,15,,,,"https://m.media-amazon.com/images/S/abs-image-upload-na/1/AmazonStores/ATVPDKIKX0DER/85f9503eaf63fb74acb4fca04d269e06.w400.h400._CR0,0,400,400_AC_FMpng_SX200_SY200_.png",https://www.amazon.com/Great-Courses/s?page=3&rh=i%3Aaps%2Ck%3AThe%20Great%20Courses,https://www.goodreads.com/book/show/6924184-money-and-banking,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!zrJ3wIaY,,
961,The Time Machine,H.G. Wells,Science Fiction,1895,Ladbroke Audio,Science Fiction,31,,,,https://images-na.ssl-images-amazon.com/images/I/61jTxl1B5OL._SX342_.jpg,https://www.amazon.com/The-Time-Machine/dp/B01MSEPSA5/ref=sr_1_1?ie=UTF8&qid=1536744351&sr=1-1&keywords=The+Time+Machine+H+G+Wells,https://www.goodreads.com/book/show/41903317-the-time-machine,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!aiA3xawQ,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
964,A Princess of Mars,Edgar Rice Burroughs,Science Fiction,1912,Trout Lake Media,Science Fiction,81,,,,https://images-na.ssl-images-amazon.com/images/I/61cy9ZHgzmL._SX342_.jpg,https://www.amazon.com/A-Princess-of-Mars/dp/B008EA4UFY/ref=sr_1_1?ie=UTF8&qid=1536744414&sr=1-1&keywords=A+Princess+of+Mars+Edgar+Rice+Burroughs,https://www.goodreads.com/book/show/41162593-a-princess-of-mars---edgar-rice-burroughs-modern-library-classics#,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!DuQB3YYZ,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
965,A Promised Land,Barrack Obama,History & Politics,2021,,,,,,,Cover not found,https://www.amazon.com/Python-Ultimate-Programming-Learning-Development/dp/1801130191,,,,
966,Dating Essentials for Men The Only Dating Guide You Will Ever Need,Edmund Morris,Non-Fiction,,,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557412753l/45696555._SY475_.jpg,https://www.goodreads.com/book/show/45696555-dating-essentials-for-men?from_search=true&from_srp=true&qid=0vJKhV96fT&rank=1,https://www.goodreads.com/book/show/45696555-dating-essentials-for-men?from_search=true&from_srp=true&qid=QK79nsEpHM&rank=1,https://mega.nz/folder/S7pnFQKT#xtmTUcenfuff2OxD01O65g,,
